"","name","landmass","zone","area","population","language","religion","bars","stripes","colours","red","green","blue","gold","white","black","orange","mainhue","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","topleft","botright"
"1","Afghanistan",5,1,648,16,10,2,0,3,5,1,1,0,1,1,1,0,"green",0,0,0,0,1,0,0,1,0,0,"black","green"
"2","Albania",3,1,29,3,6,6,0,0,3,1,0,0,1,0,1,0,"red",0,0,0,0,1,0,0,0,1,0,"red","red"
"3","Algeria",4,1,2388,20,8,2,2,0,3,1,1,0,0,1,0,0,"green",0,0,0,0,1,1,0,0,0,0,"green","white"
"4","American-Samoa",6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,"blue",0,0,0,0,0,0,1,1,1,0,"blue","red"
"5","Andorra",3,1,0,0,6,0,3,0,3,1,0,1,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"blue","red"
"6","Angola",4,2,1247,7,10,5,0,2,3,1,0,0,1,0,1,0,"red",0,0,0,0,1,0,0,1,0,0,"red","black"
"7","Anguilla",1,4,0,0,1,1,0,1,3,0,0,1,0,1,0,1,"white",0,0,0,0,0,0,0,0,1,0,"white","blue"
"8","Antigua-Barbuda",1,4,0,0,1,1,0,1,5,1,0,1,1,1,1,0,"red",0,0,0,0,1,0,1,0,0,0,"black","red"
"9","Argentina",2,3,2777,28,2,0,0,3,2,0,0,1,0,1,0,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue"
"10","Argentine",2,3,2777,28,2,0,0,3,3,0,0,1,1,1,0,0,"blue",0,0,0,0,1,0,0,0,0,0,"blue","blue"
"11","Australia",6,2,7690,15,1,1,0,0,3,1,0,1,0,1,0,0,"blue",0,1,1,1,6,0,0,0,0,0,"white","blue"
"12","Austria",3,1,84,8,4,0,0,3,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","red"
"13","Bahamas",1,4,19,0,1,1,0,3,3,0,0,1,1,0,1,0,"blue",0,0,0,0,0,0,1,0,0,0,"blue","blue"
"14","Bahrain",5,1,1,0,8,2,0,0,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"white","red"
"15","Bangladesh",5,1,143,90,6,2,0,0,2,1,1,0,0,0,0,0,"green",1,0,0,0,0,0,0,0,0,0,"green","green"
"16","Barbados",1,4,0,0,1,1,3,0,3,0,0,1,1,0,1,0,"blue",0,0,0,0,0,0,0,1,0,0,"blue","blue"
"17","Belgium",3,1,31,10,6,0,3,0,3,1,0,0,1,0,1,0,"gold",0,0,0,0,0,0,0,0,0,0,"black","red"
"18","Belize",1,4,23,0,1,1,0,2,8,1,1,1,1,1,1,1,"blue",1,0,0,0,0,0,0,1,1,1,"red","red"
"19","Benin",4,1,113,3,3,5,0,0,2,1,1,0,0,0,0,0,"green",0,0,0,0,1,0,0,0,0,0,"green","green"
"20","Bermuda",1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,"red",1,1,1,1,0,0,0,1,1,0,"white","red"
"21","Bhutan",5,1,47,1,10,3,0,0,4,1,0,0,0,1,1,1,"orange",4,0,0,0,0,0,0,0,1,0,"orange","red"
"22","Bolivia",2,3,1099,6,2,0,0,3,3,1,1,0,1,0,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green"
"23","Botswana",4,2,600,1,10,5,0,5,3,0,0,1,0,1,1,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue"
