"","Scientific_Name","Duration","Active_Growth_Period","Foliage_Color","pH_Min","pH_Max","Precip_Min","Precip_Max","Shade_Tolerance","Temp_Min_F"
"1","Abelmoschus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abelmoschus esculentus","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3","Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Abies balsamea","Perennial","Spring and Summer","Green",4,6,13,60,"Tolerant",-43
"5","Abies balsamea var. balsamea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"6","Abutilon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Abutilon theophrasti","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"8","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Acacia constricta","Perennial","Spring and Summer","Green",7,8.5,4,20,"Intolerant",-13
"10","Acacia constricta var. constricta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"11","Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Acalypha gracilens","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"13","Acalypha rhomboidea","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"14","Acalypha virginica","Annual","Spring, Summer, Fall","Green",5.9,7,13,60,"Intermediate",33
"15","Acarospora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Acer negundo","Perennial","Spring and Summer","Green",5,7.8,15,75,"Tolerant",-46
"18","Acer negundo var. negundo","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"19","Acer nigrum","Perennial","Spring and Summer","Green",4.5,7.3,24,60,"Tolerant",-47
"20","Acer pensylvanicum","Perennial","Spring and Summer","Green",4.4,6.5,24,76,"Tolerant",-47
"21","Acer platanoides","Perennial","Spring and Summer","Green",4.8,7.2,32,50,"Intermediate",-28
"22","Acer pseudoplatanus","Perennial","Spring and Summer","Yellow-Green",5.8,7,32,60,"Intolerant",-23
"23","Acer rubrum","Perennial","Spring and Summer","Green",4.7,7.3,25,80,"Intermediate",-47
"24","Acer rubrum var. rubrum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"25","Acer rubrum var. trilobum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"26","Acer saccharinum","Perennial","Spring and Summer","Green",4,7.3,20,70,"Intermediate",-47
"27","Acer saccharum","Perennial","Spring and Summer","Green",3.7,7.9,22,80,"Tolerant",-47
"28","Acer saccharum var. saccharum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"29","Acer spicatum","Perennial","Spring and Summer","Green",4.8,7,30,70,"Tolerant",-47
"30","Achillea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Achillea millefolium","Perennial","Spring","Green",6,8,8,60,"Intermediate",-38
"32","Achillea millefolium var. occidentalis","Perennial","Spring","Green",6,8,8,26,"Intermediate",-38
"33","Achyranthes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Achyranthes aspera","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"35","Achyranthes aspera var. pubescens","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"36","Acinos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Acinos arvensis","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"38","Aconitum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Aconitum uncinatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"40","Aconitum uncinatum ssp. muticum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"41","Aconitum uncinatum ssp. uncinatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"42","Acorus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Acorus calamus","Perennial","Spring and Summer","Green",5.2,7.2,32,60,"Intolerant",-38
"44","Actaea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Actaea pachypoda","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"46","Actaea podocarpa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"47","Actaea racemosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"48","Actaea racemosa var. racemosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"49","Adiantum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Adiantum aleuticum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"51","Adiantum capillus-veneris","Perennial","Spring and Summer","Green",6,8,10,60,"Tolerant",-33
"52","Adiantum pedatum","Perennial","Spring and Summer","Dark Green",4.6,6.6,36,60,"Tolerant",-38
"53","Adlumia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Adlumia fungosa","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"55","Aegilops",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Aegilops triuncialis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"57","Aegopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Aegopodium podagraria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"59","Aeschynomene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Aeschynomene americana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"61","Aeschynomene virginica","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"62","Aesculus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Aesculus flava","Perennial","Spring and Summer","Green",5,7,39,84,"Tolerant",-18
"64","Aesculus hippocastanum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"65","Aesculus ×hybrida","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"66","Agalinis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Agalinis acuta","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"68","Agalinis auriculata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"69","Agalinis fasciculata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"70","Agalinis linifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"71","Agalinis maritima","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"72","Agalinis maritima var. maritima","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"73","Agalinis obtusifolia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"74","Agalinis purpurea","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"75","Agalinis setacea","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"76","Agalinis skinneriana","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"77","Agalinis tenuifolia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"78","Agalinis tenuifolia var. tenuifolia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"79","Agastache",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Agastache nepetoides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"81","Agastache scrophulariifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"82","Ageratina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Ageratina altissima","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"84","Ageratina altissima var. altissima","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"85","Ageratina aromatica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"86","Ageratina aromatica var. aromatica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"87","Ageratum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Ageratum conyzoides","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"89","Agrimonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Agrimonia gryposepala","Perennial","Spring","Green",4.5,7,15,55,"Intermediate",-43
"91","Agrimonia microcarpa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
